-73,-50,-8
-47,-49,-18
-42,-32,-21
-46,-25,-10
-51,-16,28
-20,-9,-8
-32,-25,-33
-56,-61,-57
-69,-34,-8
-40,-30,-24
-41,-39,-23
-51,-37,-7
-49,-41,-6
-52,-31,-20
-65,-29,-9
-57,-29,-2
-68,-30,1
-83,-15,-4
-36,-16,-15
-47,-19,-1
-50,-24,1
-52,-26,3
-59,-42,7
-59,-48,5
-44,-59,9
-40,-60,14
-26,-60,20
-24,-58,19
-28,-56,15
-28,-47,13
-26,-45,13
-23,-47,13
-23,-51,12
-27,-64,11
-29,-64,11
-30,-66,12
-30,-71,12
-26,-77,11
-23,-74,11
-24,-71,11
-29,-64,11
-29,-60,11
-23,-58,11
-20,-57,11
-19,-53,11
-19,-52,10
-21,-51,9
-24,-54,9
-26,-56,9
-31,-58,11
-32,-60,13
-34,-60,17
-34,-61,17
-35,-62,16
-33,-59,18
-33,-60,19
-36,-61,17
-38,-57,17
-40,-47,19
-38,-44,19
-28,-41,14
-24,-45,15
-19,-48,17
-18,-50,17
-17,-50,12
-20,-51,12
-19,-53,14
-15,-56,12
-16,-57,11
-14,-57,15
-9,-56,18
-10,-57,15
-14,-58,16
-11,-64,16
-11,-57,13
-18,-61,15
-11,-59,18
-11,-57,16
-23,-65,7
-25,-65,11
-15,-76,8
-21,-80,6
-23,-80,12
-12,-82,19
-6,-88,25
-5,-97,25
-15,-89,16
-16,-92,12
-15,-96,7
-33,-95,5
-33,-94,-7
-59,-85,-17
-58,-59,-26
-47,-43,-25
-51,-32,-32
-49,-24,-41
-36,-11,-30
-39,-9,-30
-40,-9,-30
-43,-10,-26
-54,-8,-29
-36,-20,-29
-53,-23,-35
-59,-38,-54
-11,-35,-37
-54,-20,-43
-90,-4,-71
-70,25,-55
-80,33,-47
-76,16,-30
-80,11,-37
-69,3,-21
-81,3,-27
-70,-3,-32
-18,-21,-15
-10,-16,-20
-6,-1,-28
3,11,-8
-19,31,6
-29,32,30
-55,35,29
