,duration(s),microsiemens,normalized_time,participantID,tag0,tag1
150,2532.9662709236145,25.379421,37.5,Participant_1493663240_A01890.p,False,
151,2533.2162923812866,25.281841,37.8,Participant_1493663240_A01890.p,False,
152,2533.4663138389587,25.95698,38.0,Participant_1493663240_A01890.p,False,
153,2533.7163350582123,26.012068,38.3,Participant_1493663240_A01890.p,False,
154,2533.9663565158844,25.778908,38.5,Participant_1493663240_A01890.p,False,
155,2534.216377735138,24.879576,38.8,Participant_1493663240_A01890.p,False,
156,2534.46639919281,24.699795,39.0,Participant_1493663240_A01890.p,False,
157,2534.7164204120636,25.573505,39.3,Participant_1493663240_A01890.p,False,
158,2534.9664418697357,26.058187,39.5,Participant_1493663240_A01890.p,False,
159,2535.2164630889893,25.417854,39.8,Participant_1493663240_A01890.p,False,
160,2535.4664845466614,24.879576,40.0,Participant_1493663240_A01890.p,False,
161,2535.716505765915,24.904772,40.3,Participant_1493663240_A01890.p,False,
162,2535.966527223587,25.60297,40.5,Participant_1493663240_A01890.p,False,
163,2536.2165484428406,25.885239,40.8,Participant_1493663240_A01890.p,False,
164,2536.4665699005127,25.668734,41.0,Participant_1493663240_A01890.p,False,
165,2536.716591358185,25.083271,41.3,Participant_1493663240_A01890.p,False,
166,2536.9666125774384,24.879576,41.5,Participant_1493663240_A01890.p,False,
167,2537.2166340351105,24.378239,41.8,Participant_1493663240_A01890.p,False,
168,2537.466655254364,23.873466,42.0,Participant_1493663240_A01890.p,False,
169,2537.716676712036,23.43202,42.3,Participant_1493663240_A01890.p,False,
170,2537.9666979312897,23.918131,42.5,Participant_1493663240_A01890.p,False,
171,2538.216719388962,24.161541,42.8,Participant_1493663240_A01890.p,False,
172,2538.4667406082153,24.660595,43.0,Participant_1493663240_A01890.p,False,
173,2538.7167620658875,25.184031,43.3,Participant_1493663240_A01890.p,False,
174,2538.966783285141,25.086687,43.5,Participant_1493663240_A01890.p,False,
175,2539.216804742813,24.802284,43.8,Participant_1493663240_A01890.p,False,
176,2539.4668259620667,24.913738,44.0,Participant_1493663240_A01890.p,False,
177,2539.7168474197388,25.053379,44.3,Participant_1493663240_A01890.p,False,
178,2539.9668686389923,25.55685,44.5,Participant_1493663240_A01890.p,False,
179,2540.2168900966644,26.186296,44.8,Participant_1493663240_A01890.p,False,
180,2540.4669115543365,26.468355,45.0,Participant_1493663240_A01890.p,False,
181,2540.71693277359,26.514475,45.3,Participant_1493663240_A01890.p,False,
182,2540.966954231262,26.195482,45.5,Participant_1493663240_A01890.p,False,
183,2541.2169754505157,26.192919,45.8,Participant_1493663240_A01890.p,False,
184,2541.466996908188,25.758627,46.0,Participant_1493663240_A01890.p,False,
185,2541.7170181274414,25.672792,46.3,Participant_1493663240_A01890.p,False,
186,2541.9670395851135,25.643328,46.5,Participant_1493663240_A01890.p,False,
187,2542.217060804367,25.631798,46.8,Participant_1493663240_A01890.p,False,
188,2542.467082262039,25.638203,47.0,Participant_1493663240_A01890.p,False,
189,2542.7171034812927,25.61002,47.3,Participant_1493663240_A01890.p,False,
190,2542.967124938965,25.556213,47.5,Participant_1493663240_A01890.p,False,
191,2543.2171461582184,25.531872,47.8,Participant_1493663240_A01890.p,False,
192,2543.4671676158905,25.1422,48.0,Participant_1493663240_A01890.p,False,
193,2543.7171890735626,25.160135,48.3,Participant_1493663240_A01890.p,False,
194,2543.967210292816,25.184477,48.5,Participant_1493663240_A01890.p,False,
195,2544.2172317504883,25.184477,48.8,Participant_1493663240_A01890.p,False,
196,2544.467252969742,25.224192,49.0,Participant_1493663240_A01890.p,False,
197,2544.717274427414,25.272873,49.3,Participant_1493663240_A01890.p,False,
198,2544.9672956466675,25.155012,49.5,Participant_1493663240_A01890.p,False,
199,2545.2173171043396,25.187038,49.8,Participant_1493663240_A01890.p,False,
200,2545.467338323593,25.251095,50.0,Participant_1493663240_A01890.p,False,
201,2545.7173597812653,25.267748,50.3,Participant_1493663240_A01890.p,False,
202,2545.967381000519,25.263905,50.5,Participant_1493663240_A01890.p,False,
203,2546.217402458191,25.128109,50.8,Participant_1493663240_A01890.p,False,
204,2546.4674236774445,24.96669,51.0,Participant_1493663240_A01890.p,False,
205,2546.7174451351166,24.631897,51.3,Participant_1493663240_A01890.p,False,
206,2546.9674665927887,24.561438,51.5,Participant_1493663240_A01890.p,False,
207,2547.2174878120422,24.556313,51.8,Participant_1493663240_A01890.p,False,
208,2547.4675092697144,24.590902,52.0,Participant_1493663240_A01890.p,False,
209,2547.717530488968,24.528128,52.3,Participant_1493663240_A01890.p,False,
210,2547.96755194664,24.069473,52.5,Participant_1493663240_A01890.p,False,
211,2548.2175731658936,24.171963,52.8,Participant_1493663240_A01890.p,False,
212,2548.4675946235657,24.206553,53.0,Participant_1493663240_A01890.p,False,
213,2548.717615842819,24.238579,53.3,Participant_1493663240_A01890.p,False,
214,2548.9676373004913,24.232174,53.5,Participant_1493663240_A01890.p,False,
215,2549.217658519745,24.161713,53.8,Participant_1493663240_A01890.p,False,
216,2549.467679977417,24.234735,54.0,Participant_1493663240_A01890.p,False,
217,2549.7177011966705,24.216801,54.3,Participant_1493663240_A01890.p,False,
218,2549.9677226543427,24.233456,54.5,Participant_1493663240_A01890.p,False,
219,2550.2177441120148,24.106627,54.8,Participant_1493663240_A01890.p,False,
220,2550.4677653312683,24.10022,55.0,Participant_1493663240_A01890.p,False,
221,2550.7177867889404,24.200146,55.3,Participant_1493663240_A01890.p,False,
222,2550.967808008194,24.164276,55.5,Participant_1493663240_A01890.p,False,
223,2551.217829465866,24.165556,55.8,Participant_1493663240_A01890.p,False,
224,2551.4678506851196,24.162994,56.0,Participant_1493663240_A01890.p,False,
225,2551.7178721427917,24.023354,56.3,Participant_1493663240_A01890.p,False,
226,2551.9678933620453,23.624186,56.5,Participant_1493663240_A01890.p,False,
227,2552.2179148197174,23.874001,56.8,Participant_1493663240_A01890.p,False,
228,2552.467936038971,23.815069,57.0,Participant_1493663240_A01890.p,False,
229,2552.717957496643,23.940619,57.3,Participant_1493663240_A01890.p,False,
230,2552.9679787158966,24.200682,57.5,Participant_1493663240_A01890.p,False,
231,2553.2180001735687,24.660595,57.8,Participant_1493663240_A01890.p,False,
232,2553.468021631241,25.184031,58.0,Participant_1493663240_A01890.p,False,
233,2553.7180428504944,25.688805,58.3,Participant_1493663240_A01890.p,False,
234,2553.9680643081665,26.19014,58.5,Participant_1493663240_A01890.p,False,
235,2554.21808552742,26.689985,58.8,Participant_1493663240_A01890.p,False,
236,2554.468106985092,27.191519,59.0,Participant_1493663240_A01890.p,False,
237,2554.7181282043457,27.692884,59.3,Participant_1493663240_A01890.p,False,
238,2554.968149662018,28.194454,59.5,Participant_1493663240_A01890.p,False,
239,2555.2181708812714,28.694923,59.8,Participant_1493663240_A01890.p,True,
240,2555.4681923389435,29.186159,60.0,Participant_1493663240_A01890.p,True,
241,2555.718213558197,29.340561,60.3,Participant_1493663240_A01890.p,True,
242,2555.968235015869,29.23423,60.5,Participant_1493663240_A01890.p,True,
243,2556.2182562351227,29.116369,60.8,Participant_1493663240_A01890.p,False,
244,2556.468277692795,29.154802,61.0,Participant_1493663240_A01890.p,False,
245,2556.718299150467,29.253447,61.3,Participant_1493663240_A01890.p,False,
246,2556.9683203697205,29.697989,61.5,Participant_1493663240_A01890.p,False,
247,2557.2183418273926,30.155979,61.8,Participant_1493663240_A01890.p,False,
248,2557.468363046646,30.417583,62.0,Participant_1493663240_A01890.p,False,
249,2557.7183845043182,29.805218,62.3,Participant_1493663240_A01890.p,False,
250,2557.968405723572,29.818029,62.5,Participant_1493663240_A01890.p,False,
251,2558.218427181244,29.769348,62.8,Participant_1493663240_A01890.p,False,
252,2558.4684484004974,29.616896,63.0,Participant_1493663240_A01890.p,False,
253,2558.7184698581696,29.589993,63.3,Participant_1493663240_A01890.p,False,
254,2558.968491077423,29.390142,63.5,Participant_1493663240_A01890.p,False,
255,2559.218512535095,28.888971,63.8,Participant_1493663240_A01890.p,False,
256,2559.4685337543488,28.498878,64.0,Participant_1493663240_A01890.p,False,
257,2559.718555212021,28.10363,64.3,Participant_1493663240_A01890.p,False,
258,2559.968576669693,28.078007,64.5,Participant_1493663240_A01890.p,False,
259,2560.2185978889465,28.040855,64.8,Participant_1493663240_A01890.p,False,
260,2560.4686193466187,27.755877,65.0,Participant_1493663240_A01890.p,False,
261,2560.718640565872,27.732817,65.3,Participant_1493663240_A01890.p,False,
262,2560.9686620235443,27.700788,65.5,Participant_1493663240_A01890.p,False,
263,2561.218683242798,27.655951,65.8,Participant_1493663240_A01890.p,False,
264,2561.46870470047,27.613674,66.0,Participant_1493663240_A01890.p,False,
265,2561.7187259197235,27.605988,66.3,Participant_1493663240_A01890.p,False,
266,2561.9687473773956,27.589333,66.5,Participant_1493663240_A01890.p,False,
267,2562.218768596649,27.562431,66.8,Participant_1493663240_A01890.p,False,
268,2562.4687900543213,27.564993,67.0,Participant_1493663240_A01890.p,False,
269,2562.718811273575,27.623922,67.3,Participant_1493663240_A01890.p,False,
270,2562.968832731247,27.573959,67.5,Participant_1493663240_A01890.p,False,
271,2563.2188539505005,27.557306,67.8,Participant_1493663240_A01890.p,False,
