normalized_time,Participant_1493663240_A01890.p,Participant_1496443804_A01890.p
106.0,86.85,129.18
107.0,86.55,129.17
108.0,86.3,129.08
109.0,86.05,128.97
110.0,85.8,128.82
111.0,85.52,128.63
112.0,85.28,128.47
113.0,85.05,128.28
114.0,84.83,128.12
115.0,84.62,127.95
116.0,84.43,127.77
117.0,84.33,127.57
118.0,84.25,127.38
119.0,84.17,127.13
120.0,84.1,126.88
121.0,84.03,126.62
122.0,84.1,126.33
123.0,84.12,126.07
124.0,84.15,125.8
125.0,84.17,125.53
126.0,84.15,125.3
127.0,84.13,125.1
128.0,84.18,124.92
129.0,84.18,124.77
130.0,84.18,124.57
131.0,84.22,124.4
132.0,84.28,124.25
133.0,84.28,124.07
134.0,84.33,123.87
135.0,84.5,123.65
136.0,84.68,123.43
137.0,84.88,123.22
138.0,85.1,122.98
139.0,85.43,122.77
140.0,85.82,122.55
141.0,86.23,122.32
142.0,86.7,122.03
143.0,87.18,121.73
144.0,87.55,121.47
145.0,87.73,121.22
146.0,87.97,120.97
147.0,88.25,120.67
148.0,88.58,120.38
149.0,88.98,120.15
150.0,89.2,119.97
151.0,89.47,119.78
152.0,89.7,119.58
153.0,90.0,119.38
154.0,90.28,119.2
155.0,90.55,118.98
156.0,90.8,118.8
157.0,91.03,118.6
158.0,91.22,118.4
159.0,91.37,118.27
160.0,91.47,118.17
161.0,91.58,118.12
162.0,91.67,118.07
163.0,91.7,117.9
164.0,91.85,117.75
165.0,91.98,117.65
166.0,92.13,117.67
167.0,92.3,117.68
168.0,92.4,117.72
169.0,92.47,117.75
170.0,92.33,117.82
171.0,92.17,117.9
172.0,92.02,118.02
173.0,91.83,118.12
174.0,91.72,118.23
175.0,91.68,118.32
176.0,91.68,117.95
177.0,91.65,117.6
178.0,91.58,117.37
179.0,91.5,117.1
180.0,91.42,116.82
181.0,91.32,116.53
182.0,91.05,116.25
183.0,90.88,115.63
184.0,90.77,114.88
185.0,90.63,114.13
186.0,90.53,113.35
187.0,90.47,112.55
188.0,90.37,111.72
189.0,90.17,110.88
190.0,89.97,110.07
191.0,89.78,109.27
192.0,89.58,108.48
193.0,89.45,107.7
194.0,89.35,106.93
195.0,89.23,106.2
196.0,89.05,105.5
197.0,88.85,104.77
198.0,88.58,104.03
199.0,88.25,103.27
200.0,87.92,102.53
201.0,87.55,101.85
202.0,87.22,101.17
203.0,86.78,100.45
204.0,86.5,99.72
205.0,86.12,98.97
206.0,85.72,98.2
207.0,85.27,97.45
208.0,84.82,96.72
209.0,84.35,95.97
210.0,83.92,95.1
211.0,83.48,94.27
212.0,83.07,93.48
213.0,82.57,92.82
214.0,82.1,92.18
215.0,81.67,91.57
216.0,81.2,90.98
217.0,80.63,90.43
218.0,80.27,89.9
219.0,80.05,89.2
220.0,80.3,88.48
221.0,80.5,87.77
222.0,80.75,87.03
223.0,80.95,86.4
224.0,81.05,85.72
225.0,81.18,85.13
226.0,81.28,84.43
227.0,81.4,83.73
228.0,81.48,83.08
229.0,81.58,82.4
230.0,81.83,81.72
231.0,82.08,81.0
232.0,82.35,80.23
233.0,82.65,79.47
234.0,82.82,78.68
235.0,82.88,77.98
236.0,82.92,77.68
237.0,83.02,77.37
238.0,83.13,76.97
239.0,83.27,76.57
240.0,83.32,76.15
241.0,83.4,75.65
242.0,83.55,75.2
243.0,83.67,75.02
244.0,83.73,74.98
245.0,83.78,74.98
246.0,83.83,75.03
247.0,83.85,75.08
248.0,83.9,75.18
249.0,84.08,75.28
250.0,84.2,75.43
251.0,84.33,75.68
252.0,84.47,75.97
253.0,84.65,76.25
254.0,84.82,76.52
255.0,84.97,76.75
256.0,85.17,76.97
257.0,85.4,77.22
258.0,85.68,77.48
259.0,86.0,77.85
260.0,86.3,78.08
261.0,86.6,78.28
262.0,86.87,78.5
263.0,87.23,78.77
264.0,87.5,79.02
265.0,87.82,79.28
266.0,88.2,79.53
267.0,88.58,79.73
268.0,88.98,79.88
269.0,89.37,80.02
270.0,89.77,80.3
271.0,90.32,80.55
272.0,90.83,80.77
273.0,91.42,80.9
274.0,92.02,81.02
275.0,92.65,81.13
276.0,93.28,81.25
277.0,93.98,81.38
278.0,94.88,81.48
279.0,95.78,81.7
280.0,96.28,81.9
281.0,96.82,82.07
282.0,97.32,82.23
283.0,97.87,82.4
284.0,98.58,82.6
285.0,99.32,82.62
286.0,100.12,82.63
287.0,100.9,82.65
288.0,101.75,82.63
289.0,102.7,82.65
290.0,103.67,82.67
291.0,104.65,82.68
292.0,105.58,82.73
293.0,106.52,82.78
294.0,107.5,82.67
295.0,108.48,82.93
296.0,109.5,83.32
297.0,110.48,83.7
298.0,111.47,84.07
299.0,112.43,84.42
300.0,113.48,84.78
301.0,114.5,85.23
302.0,115.53,85.6
303.0,116.53,86.03
304.0,117.52,86.4
305.0,118.52,86.72
306.0,119.52,86.93
307.0,120.5,87.17
308.0,121.47,87.35
309.0,122.4,87.52
310.0,123.4,87.67
311.0,124.35,87.7
312.0,125.32,87.72
313.0,126.18,87.72
314.0,127.05,87.73
315.0,127.92,87.8
316.0,128.78,87.85
317.0,129.6,87.88
318.0,130.38,87.9
319.0,131.18,87.78
320.0,132.0,87.72
321.0,132.83,87.68
322.0,133.63,87.58
323.0,134.38,87.5
324.0,135.22,87.38
325.0,136.0,87.22
326.0,136.72,87.05
327.0,137.45,86.83
328.0,138.25,86.63
329.0,139.13,86.43
330.0,140.03,86.18
331.0,140.75,86.47
332.0,141.48,86.75
333.0,142.2,87.02
334.0,142.87,87.27
335.0,143.5,87.52
336.0,144.1,87.8
337.0,144.68,88.07
338.0,144.85,88.33
339.0,144.87,88.58
340.0,144.9,88.72
341.0,144.92,88.77
342.0,144.92,88.85
343.0,144.92,88.95
344.0,144.5,89.07
345.0,144.08,89.2
346.0,143.63,89.37
347.0,143.15,89.55
348.0,142.6,89.65
349.0,141.97,89.75
350.0,141.3,89.87
351.0,140.67,89.98
352.0,140.02,90.1
353.0,139.35,90.23
354.0,138.73,90.5
355.0,138.07,90.37
356.0,137.37,90.15
357.0,136.7,89.93
358.0,136.03,89.65
359.0,135.37,89.47
360.0,134.67,89.28
361.0,134.02,89.12
362.0,133.3,88.93
363.0,132.58,88.92
364.0,131.85,88.97
365.0,131.08,89.03
366.0,130.33,89.18
367.0,129.58,89.35
368.0,128.82,89.47
369.0,128.07,89.58
370.0,127.32,89.87
371.0,126.6,90.15
372.0,125.87,90.37
373.0,125.22,90.48
374.0,124.55,90.28
375.0,123.92,90.1
376.0,123.25,89.95
377.0,122.55,89.83
378.0,121.73,89.73
379.0,120.88,89.67
380.0,119.93,89.68
381.0,118.75,89.67
382.0,117.6,89.72
383.0,116.48,89.77
384.0,115.35,89.85
385.0,114.25,89.85
386.0,113.85,89.83
387.0,113.45,89.9
388.0,112.97,89.97
389.0,112.0,90.15
390.0,111.05,90.33
391.0,111.07,90.0
392.0,111.08,89.63
393.0,111.1,89.23
394.0,111.1,88.8
395.0,111.08,88.35
396.0,111.08,87.85
397.0,111.05,87.35
398.0,111.02,86.87
399.0,111.05,86.42
400.0,111.08,86.12
401.0,111.15,85.83
402.0,111.22,85.53
403.0,111.27,85.3
404.0,111.58,85.08
405.0,111.88,84.83
406.0,112.18,84.57
407.0,112.48,84.4
408.0,112.83,84.25
409.0,113.17,84.07
410.0,113.53,83.8
411.0,113.87,83.55
412.0,114.22,83.37
413.0,114.58,83.17
414.0,114.9,83.03
415.0,115.3,82.82
416.0,115.73,82.67
417.0,116.13,82.52
418.0,116.53,82.48
419.0,116.93,82.38
420.0,117.35,82.27
421.0,117.7,82.13
422.0,118.13,82.07
423.0,118.5,81.85
424.0,118.88,81.6
425.0,119.3,81.35
426.0,119.67,81.05
427.0,120.05,80.67
428.0,120.45,80.3
429.0,120.87,79.95
430.0,121.3,79.47
431.0,121.72,79.13
432.0,,78.85
433.0,,78.72
434.0,,78.87
435.0,,79.03
436.0,,79.27
437.0,,79.43
438.0,,79.62
439.0,,79.77
440.0,,79.93
441.0,,80.13
442.0,,80.33
443.0,,80.48
444.0,,80.6
445.0,,80.78
446.0,,81.03
447.0,,81.25
448.0,,81.5
449.0,,81.63
450.0,,81.78
451.0,,81.93
452.0,,82.08
453.0,,82.28
454.0,,82.48
455.0,,82.62
456.0,,82.72
457.0,,82.82
458.0,,82.72
459.0,,82.58
460.0,,82.43
461.0,,82.33
462.0,,82.25
463.0,,82.07
464.0,,81.83
465.0,,81.63
466.0,,81.47
467.0,,81.18
468.0,,80.93
469.0,,80.67
470.0,,80.65
471.0,,80.63
472.0,,80.58
473.0,,80.55
474.0,,80.5
475.0,,80.52
476.0,,80.43
477.0,,80.38
478.0,,80.3
479.0,,80.22
480.0,,80.13
481.0,,80.05
482.0,,79.95
483.0,,79.8
484.0,,79.67
485.0,,79.55
486.0,,79.45
487.0,,79.42
488.0,,79.43
489.0,,79.53
490.0,,79.55
491.0,,79.42
492.0,,79.32
493.0,,79.17
494.0,,79.03
495.0,,78.83
496.0,,78.55
497.0,,78.28
498.0,,78.03
499.0,,77.85
500.0,,77.63
