normalized_time,Participant_1493663240_A01890.p,Participant_1496443804_A01890.p
31.0,25.221203,6.676558
31.3,25.204548,6.671436
31.5,25.198143,6.656069
31.8,25.157148,6.652228
32.0,25.222485,6.663753
32.3,25.250668,6.65735
32.5,25.204548,6.639422
32.8,25.374935,6.6343
33.0,25.241701,6.639422
33.3,25.455645,6.6343
33.5,25.585035,6.630458
33.8,26.054344,6.629178
34.0,26.505508,6.618933
34.3,26.573406,6.622775
34.5,26.018032,6.618933
34.8,25.76247,6.617653
35.0,25.76375,6.607408
35.3,25.758627,6.615091
35.5,25.74069,6.599725
35.8,26.004597,6.602286
36.0,26.272346,6.592041
36.3,26.281315,6.636861
36.5,26.190357,6.662472
36.8,26.442734,6.741867
37.0,26.50807,7.062007
37.3,25.561337,7.484108999999999
37.5,25.379421,7.538556
37.8,25.281841,7.591059
38.0,25.95698,7.591059
38.3,26.012068,7.606425
38.5,25.778908,7.629475
38.8,24.879576,7.646122
39.0,24.699795,7.68582
39.3,25.573505,7.698625999999999
39.5,26.058187,7.721676
39.8,25.417854,7.729359
40.0,24.879576,7.783142999999999
40.3,24.904772,7.784422999999999
40.5,25.60297,7.822839999999999
40.8,25.885239,7.831803999999999
41.0,25.668734,7.84589
41.3,25.083271,7.902235000000001
41.5,24.879576,7.895832
41.8,24.378239,7.883025999999999
42.0,23.873466,7.836925999999999
42.3,23.43202,7.698625999999999
42.5,23.918131,7.866378999999999
42.8,24.161541,7.879185000000001
43.0,24.660595,7.18256
43.3,25.184031,6.800953
43.5,25.086687,7.194703
43.8,24.802284,7.2344
44.0,24.913738,7.140919
44.3,25.053379,6.674795
44.5,25.55685,6.407158
44.8,26.186296,6.183543
45.0,26.468355,6.456302
45.3,26.514475,6.020912
45.5,26.195482,6.908339999999999
45.8,26.192919,6.384591
46.0,25.758627,6.385871
46.3,25.672792,6.622775
46.5,25.643328,6.878887
46.8,25.631798,6.880167
47.0,25.638203,6.869923
47.3,25.61002,6.355138
47.5,25.556213,6.350016
47.8,25.531872,6.261657
48.0,25.1422,6.478072
48.3,25.160135,5.864683
48.5,25.184477,6.245445
48.8,25.184477,6.46314
49.0,25.224192,6.563869
49.3,25.272873,6.814858999999999
49.5,25.155012,6.900656
49.8,25.187038,6.923707
50.0,25.251095,6.942432000000001
50.3,25.267748,7.023108000000001
50.5,25.263905,7.102502
50.8,25.128109,6.898892999999999
51.0,24.96669,6.54674
51.3,24.631897,6.304714
51.5,24.561438,6.183543
51.8,24.556313,6.091342
52.0,24.590902,6.113112
52.3,24.528128,6.099026
52.5,24.069473,6.018351
52.8,24.171963,6.017069999999999
53.0,24.206553,6.014508999999999
53.3,24.238579,5.905661
53.5,24.232174,5.926586
53.8,24.161713,5.918902
54.0,24.234735,5.915061
54.3,24.216801,5.91378
54.5,24.233456,5.880486
54.8,24.106627,5.907376999999999
55.0,24.10022,5.888169
55.3,24.200146,5.866398999999999
55.5,24.164276,5.833105000000001
55.8,24.165556,5.827982
56.0,24.162994,5.843349
56.3,24.023354,5.787004
56.5,23.624186,5.908658
56.8,23.874001,5.656387
57.0,23.815069,5.643582
57.3,23.940619,5.66151
57.5,24.200682,5.600043
57.8,24.660595,5.849752
58.0,25.184031,5.585957
58.3,25.688805,5.820298999999999
58.5,26.19014,6.273617
58.8,26.689985,6.260812
59.0,27.191519,6.427284999999999
59.3,27.692884,5.908222
59.5,28.194454,5.991894
59.8,28.694923,6.584794
60.0,29.186159,6.492158
60.3,29.340561,6.24501
60.5,29.23423,6.227082
60.8,29.116369,6.278304
61.0,29.154802,6.79565
61.3,29.253447,5.941517
61.5,29.697989,5.860842
61.8,30.155979,5.681998999999999
62.0,30.417583,5.635899
62.3,29.805218,5.534733999999999
62.5,29.818029,5.515526
62.8,29.769348,5.653826
63.0,29.616896,6.113547000000001
63.3,29.589993,6.368379
63.5,29.390142,6.41704
63.8,28.888971,6.488751000000001
64.0,28.498878,6.567711
64.3,28.10363,6.641984
64.5,28.078007,6.686803
64.8,28.040855,6.563869
65.0,27.755877,6.498559999999999
65.3,27.732817,6.859678999999999
65.5,27.700788,6.895534
65.8,27.655951,6.887851
66.0,27.613674,6.654789
66.3,27.605988,6.554905000000001
66.5,27.589333,6.6804
66.8,27.562431,6.665033
67.0,27.564993,6.661192
67.3,27.623922,6.672717
67.5,27.573959,6.699608
67.8,27.557306,6.736745
68.0,27.588053,6.706011
68.3,27.489408,6.529294
68.5,27.149076,6.759795
68.8,27.149076,6.714975
69.0,27.154202,6.809736999999999
69.3,27.14139,6.689364
69.5,27.197758,6.873765
69.8,27.124735,7.02359
70.0,27.131142,7.05128
70.3,27.111925,7.055122
70.5,27.109362,6.898892999999999
70.8,27.065805,6.842549000000001
71.0,27.015842,7.00518
71.3,26.801239,6.80029
71.5,26.680815,6.750349000000001
71.8,26.691065,6.687601
72.0,26.543737,6.694004
72.3,26.283218,6.696565
72.5,26.153828,6.655587
72.8,25.952696,6.733700999999999
73.0,25.8214,6.587717
73.3,25.71763,6.521128
73.5,25.6113,6.586436999999999
73.8,25.765032,6.699126
74.0,25.741972,6.769557000000001
74.3,25.570305,6.802851
74.5,25.556213,7.041036
74.8,25.493439,6.937310000000001
75.0,25.198568,6.893771000000001
75.3,25.197289,6.864317999999999
75.5,25.225471,6.934749000000001
75.8,25.43301,6.91298
76.0,25.276716,6.746507000000001
76.3,25.691793,6.715773
76.5,25.877552,6.774678999999999
76.8,25.951857,6.396914
77.0,25.96851,6.568991
77.3,25.448383,6.665033
77.5,25.555996,6.671436
77.8,25.882677,6.789248
78.0,25.557278,6.826384
78.3,25.292089,6.822541999999999
78.5,25.111454,6.827664
78.8,24.879576,6.97749
79.0,24.378239,6.936029
79.3,24.092533,7.060244
79.5,24.257795,6.857914999999999
79.8,24.177086,6.851512
80.0,24.069473,6.855353999999999
80.3,23.958017,6.629975999999999
80.5,23.52298,6.303433
80.8,23.498638,6.261657
81.0,23.139223,6.187385
81.3,23.845108,5.882611
81.5,23.978342,5.529612
81.8,23.738777,5.454059
82.0,23.708031,5.566748
82.3,23.683689,5.833105000000001
82.5,24.001402,5.89201
82.8,24.319822,6.107144
83.0,24.314699,6.195503
83.3,24.24552,6.254409
83.5,24.372349,6.25697
83.8,24.390284,6.245445
84.0,24.149437,6.250567
84.3,23.968801,6.268495
84.5,23.998266,6.579671
84.8,23.792009,6.926267999999999
85.0,23.88553,6.941152000000001
85.3,23.753576,6.715773
85.5,23.514011,6.709371000000001
85.8,23.636997,6.923224
86.0,23.44355,7.138358
86.3,23.163563,7.052561
86.5,23.14819,7.033352000000001
86.8,22.985491,6.994936
87.0,22.611252,6.888649000000001
87.3,22.542072,6.89249
87.5,22.349907,6.854074000000001
87.8,22.544394,6.829743
88.0,22.550798,6.863038
88.3,22.452154,6.837427000000001
88.5,22.252302,6.612048
88.8,22.152378,6.298311
89.0,22.13188,6.051645
89.3,22.128036,6.031156
89.5,22.349667,6.119515
89.8,21.992239,6.818701
90.0,21.961893,6.211715
90.3,22.068224,6.136162000000001
90.5,22.271919,6.10799
90.8,22.392344,6.106708999999999
91.0,22.192492,6.105429
91.3,22.294979,6.077255999999999
91.5,22.08744,6.060608999999999
91.8,21.988796,6.047803
92.0,22.453836,6.029876
92.3,22.170713,6.102868
92.5,22.364159,6.034998000000001
92.8,22.312914,5.818583
93.0,22.474333,5.966283
93.3,22.590914,5.849752
93.5,23.036337,5.819018
93.8,23.351727,5.877924
94.0,23.386316,5.897133
94.3,23.283829,5.89201
94.5,23.578482,5.898413
94.8,23.750307,5.898413
95.0,23.510742,6.030311
95.3,23.760555,6.078972
95.5,23.787458,6.029030000000001
95.8,23.772085,6.068727
96.0,23.720842,6.017505
96.3,23.605543,6.008541999999999
96.5,23.523552,6.008541999999999
96.8,23.477432,5.995736
97.0,23.585045,5.991894
97.3,23.093103,5.977808
97.5,23.219933,5.957319
97.8,23.162283,5.961161
98.0,22.885565,5.956037999999999
98.3,22.688118,5.939391000000001
98.5,22.800854,5.943233
98.8,22.87644,5.941952
99.0,22.898218,5.982930000000001
99.3,23.427313,6.032872
99.5,23.318419,6.040555
99.8,22.767546,6.034153
100.0,23.15572,6.061044
100.3,23.303045,6.081533
100.5,22.429335,6.070008000000001
100.8,21.850039,6.030311
101.0,21.348248,6.107144
101.3,20.846617,6.107144
101.5,20.345123,6.108425
101.8,19.84392,6.123792
102.0,20.440828,6.11867
102.3,19.342926,6.237761
102.5,20.023939,6.249287000000001
102.8,20.48951,6.227517
103.0,19.69651,6.214712
103.3,19.577368,6.207028
103.5,19.761845,6.196784
103.8,20.133364,6.190380999999999
104.0,20.567657,6.200625
104.3,20.757343,6.209589
104.5,20.399916,6.392709
104.8,20.046333,6.291544999999999
105.0,20.636919,6.236480999999999
105.3,21.110926,6.194222
105.5,21.213709,6.204467
105.8,21.298262,6.200625
106.0,21.332851,6.192942
106.3,21.355911,6.195503
106.5,21.281607,6.190380999999999
106.8,20.746107,6.176295
107.0,20.887028,6.175014
107.3,20.753794,5.927866000000001
107.5,21.277763,5.897133
107.8,21.293137,5.918902
108.0,21.161184,5.769076999999999
108.3,20.962614,5.826702
108.5,21.066381,5.895852
108.8,21.066381,5.827982
109.0,20.697426,5.797249
109.3,20.966457,5.765235
109.5,20.678209,5.735782
109.8,21.065102,5.710171
110.0,20.87678,5.70889
110.3,20.974142,5.681998999999999
110.5,21.170151,5.634618
110.8,20.993359,5.609006
111.0,20.691019,5.615409
111.3,20.667961,5.580833999999999
111.5,20.757637,5.559065
111.8,20.869093,5.520648
112.0,21.108658,5.469426
112.3,21.252142,5.450216999999999
112.5,21.130438,5.436131
112.8,21.10994,5.423026
113.0,20.706392,5.399975
113.3,20.733295,5.376925
113.5,20.797352,5.366681
113.8,21.189367,5.367961
114.0,20.543694,5.352595
114.3,20.559067,5.343630999999999
114.5,20.683334,5.328264
114.8,20.910088,5.330825
115.0,20.734577,5.3193
115.3,20.480919,5.270639
115.5,20.453722,5.234783
115.8,20.756062,5.123374
116.0,20.015587,5.146425
116.3,20.585676,5.188683
116.5,20.772717,5.161791
116.8,20.725315,5.143864
117.0,20.542118,5.077274
117.3,21.063526,5.105447
117.5,20.890871,5.009405
117.8,20.881905,4.982513
118.0,20.805038,4.942816000000001
118.3,21.093285,4.923607
118.5,21.200897,4.935633999999999
118.8,20.682053,4.852397
119.0,21.236769,4.866484
119.3,20.814005,4.848555999999999
119.5,20.776854,4.771722
119.8,20.890871,4.739708
120.0,20.857563,4.74227
120.3,20.637215,4.747392
120.5,20.674366,4.756355
120.8,20.984392,4.806297
121.0,20.626965,4.799894
121.3,20.921618,4.790931
121.5,20.605186,4.824225
121.8,20.778135,4.865203
122.0,20.566753,4.92795
122.3,20.689739,4.893375
122.5,20.646181,4.870325
122.8,20.683334,4.653911
123.0,20.908808,4.976612
123.3,20.917774,4.986856
123.5,20.957489,4.865203
123.8,20.793509,5.008626
124.0,20.81913,4.646227
124.3,20.931868,4.320965
124.5,20.885748,4.3169
124.8,20.916494,4.315619
125.0,20.893435,4.313058
125.3,20.839628,4.273361
125.5,20.702549,4.314339
125.8,21.092005,4.379648
126.0,21.099691,4.40782
126.3,21.527578,4.724118
126.5,21.719046,4.932849
126.8,21.409019,4.902339
127.0,21.704954,4.958684
127.3,21.426956,4.878009
127.5,21.658834,4.910023000000001
127.8,21.488447,4.821664
128.0,21.488447,4.85752
128.3,21.516632,4.975331
128.5,21.836906,5.099545
128.8,21.669083,5.504201999999999
129.0,21.665239,5.758532
129.3,21.612715,5.335948
129.5,21.836906,5.209172
129.8,21.836906,4.872385
130.0,21.986795,4.756355
130.3,21.822815,4.828067
130.5,21.848436,4.971489
130.8,21.87534,4.894655999999999
131.0,21.934271,5.072654
131.3,21.902243,5.113632
131.5,22.03804,4.971489
131.8,22.151497,4.806297
132.0,22.175837,4.842153
132.3,22.205303,4.682083
132.5,22.253984,4.650069
132.8,22.348785,4.687205000000001
133.0,21.776134,4.776845
133.3,21.615997,4.72178
133.5,21.904243,4.751233
133.8,22.147654,4.7205
134.0,21.741545,4.72178
134.3,21.687738,4.706414
134.5,21.814568,4.784528
134.8,21.88759,4.794772
135.0,21.917055,4.797333
135.3,22.022104,4.802455
135.5,22.08744,4.813981
135.8,22.311634,4.8127
136.0,22.068224,4.807577999999999
136.3,22.169432,4.796053
136.5,22.218113,4.794772
136.8,22.186087,4.792211
137.0,22.362877,4.78837
137.3,22.187366,4.776845
137.5,22.257828,4.7666
137.8,22.315477,4.752514
138.0,22.291136,4.752514
138.3,22.314196,4.757636
138.5,22.35391,4.762758
138.8,22.371845,4.753794
139.0,22.40131,4.749953
139.3,22.410278,4.748672
139.5,22.420527,5.025273
139.8,22.442307,5.104668
140.0,22.465366,5.340291000000001
140.3,22.542231,5.427369000000001
140.5,22.712217,5.229661
140.8,22.354792,5.133619
141.0,22.513647,5.265517
141.3,22.664818,5.337228
141.5,22.800613,5.361558
141.8,22.850576,5.358997
142.0,22.803177,5.361558
142.3,22.728872,5.360278
142.5,22.631508,5.343630999999999
142.8,22.379131,5.303934
143.0,23.014557,5.118252
143.3,23.148033,5.114409999999999
143.5,22.665058,5.157948999999999
143.8,22.617657,5.388451
144.0,22.903343,5.442234
144.3,22.736799,5.306495
144.5,22.772671,5.293689
144.8,22.453676,5.294969999999999
145.0,22.340698,5.260395
145.3,22.245897,5.219417
145.5,22.033236,5.278322
145.8,22.046045,5.211733000000001
146.0,22.103695,5.200208
146.3,22.139566,5.224539
146.5,22.171595,5.216856
146.8,22.198498,5.221978
147.0,22.225401,5.221978
147.3,22.248459,5.219417
147.5,22.271519,4.995318
147.8,22.327888,5.315458
148.0,22.374008,4.935132
148.3,22.421408,4.674399
148.5,22.470091,4.801175
148.8,22.490587,4.813981
149.0,22.709656,4.806297
149.3,23.160603,4.883131
149.5,23.660473,4.94844
149.8,24.051365,4.959964
150.0,24.422312,4.939476
150.3,24.45562,4.935633999999999
150.5,24.481241,4.930511
150.8,24.590136,4.842153
151.0,24.735645,4.842153
151.3,24.735645,4.83447
151.5,24.861193,4.662875
151.8,24.549887,4.565551999999999
152.0,24.836853,4.60653
152.3,24.947027,4.760197
152.5,24.084846,4.883131
152.8,23.873466,5.125157
153.0,23.415367,5.140523
153.3,23.108477,5.100826000000001
153.5,23.139223,5.026554
153.8,23.159719,4.986856
154.0,23.177656,4.984294999999999
154.3,23.194309,4.952281
154.5,23.213526,4.967648000000001
154.8,23.227619,4.907462000000001
155.0,23.239149,4.840872
155.3,23.259645,4.867764
155.5,23.277582,4.783247
155.8,23.31089,4.826786
156.0,23.359571,4.758916
156.3,23.400566,4.620616
156.5,23.433876,4.682083
156.8,23.467184,4.615494
157.0,23.506899,4.688486
157.3,23.533802,4.710255
157.5,23.565828,4.551466
157.8,23.583765,4.564271
158.0,24.143604,4.496402
158.3,24.660595,4.510488
158.5,25.05464,4.600127
158.8,25.422337,4.441338
159.0,25.627312,4.450078
159.3,25.667452,4.432151
159.5,25.570087,4.493618
159.8,25.158855,4.621674
160.0,25.169104,4.648565000000001
160.3,25.137077,4.63704
160.5,25.139639,4.68314
160.8,25.084551,4.701068
161.0,25.155012,4.718996
161.3,24.964128,4.579415
161.5,24.745914,4.639601
161.8,24.730541,4.838088
162.0,24.761288,4.822721
162.3,24.743353,4.815037999999999
162.5,24.736948,4.752291
162.8,24.757444,4.72924
163.0,24.744635,4.752291
163.3,24.771538,4.747169
163.5,24.667768,4.721557
163.8,24.733105,4.724118
164.0,24.70492,4.721557
164.3,24.543501,4.678018
164.5,24.640865,4.666493
164.8,24.498663,4.656249
165.0,24.07588,4.678018
165.3,24.192459,4.680579
165.5,24.230892,4.665213
165.8,24.230892,4.678018
166.0,24.36797,4.699788
166.3,24.215519,4.735643
166.5,24.224487,4.784305000000001
166.8,24.334661,4.822721
167.0,24.159151,4.822721
167.3,24.03104,4.816319
167.5,24.114847,4.813757
167.8,24.073853,4.858576999999999
168.0,23.350031,4.881627
168.3,22.850975,4.91108
168.5,23.478556,4.894433
168.8,23.551579,4.815037999999999
169.0,23.645258,4.802233
169.3,23.155876,4.807355
169.5,23.309608,4.81888
169.8,23.476152,4.830405000000001
170.0,23.419783,4.831686
170.3,23.346762,4.821441
170.5,23.611948,4.871383
170.8,23.264771,4.932849
171.0,23.804113,4.947159
171.3,23.389036,4.930511
171.5,23.289112,4.885692
171.8,23.454372,4.305598000000001
172.0,23.394161,4.809916
172.3,23.145628,5.019928
172.5,23.055952,5.088019999999999
172.8,23.462059,4.595005
173.0,23.023924,5.099545
173.3,22.850975,4.983015
173.5,22.431898,4.619336
173.8,22.236931,4.395237
174.0,22.092165,4.336109
174.3,22.048609,4.574293
174.5,22.010176,4.875225
174.8,21.649305,4.320742
175.0,21.756918,4.260555999999999
175.3,21.671083,4.45392
175.5,21.831221,4.398855999999999
175.8,21.604467,4.204211
176.0,21.93371,4.1786
176.3,22.266794,4.188844
176.5,22.077192,4.432151
176.8,22.266794,4.980230000000001
177.0,22.471771,5.025273
177.3,22.547356,4.853677999999999
177.5,22.643038,4.305598000000001
177.8,22.580265,3.805957
178.0,22.557205,4.02843
178.3,22.502117,3.924705
178.5,22.476496,3.471387
178.8,22.467527,4.591876999999999
179.0,22.639194,4.398855999999999
179.3,22.614855,4.438553
179.5,22.476496,4.494898
179.8,22.498274,4.088961
180.0,22.520054,3.805957
180.3,22.599482,3.607126
180.5,22.582827,3.468826
180.8,22.558485,3.595601
181.0,22.571297,3.327964
181.3,22.559767,3.442902
181.5,22.532864,3.855242
181.8,22.040922,4.081901999999999
182.0,22.452154,4.178256
182.3,22.810863,3.377906
182.5,22.731434,3.800178
182.8,22.562328,4.005068
183.0,22.316359,4.043797000000001
183.3,22.088322,4.065567
183.5,22.543112,4.092458000000001
183.8,22.867231,4.046358000000001
184.0,22.389381,4.013063
184.3,22.142128,4.071969999999999
184.5,22.73912,4.124472
184.8,22.856981,4.161608999999999
185.0,22.486744,4.107825
185.3,22.526459,3.86836
185.5,22.531582,3.311317
185.8,22.655849,3.720783
186.0,22.361197,3.870609
186.3,22.198498,3.729748
186.5,22.362478,3.960248
186.8,22.268957,4.005380000000001
187.0,22.778835,3.991294
187.3,23.003027,3.650665
187.5,23.441404,3.991294
187.8,23.413219,3.850432
188.0,23.442686,3.394553
188.3,23.30817,3.855242
188.5,23.519552,3.892379
188.8,23.738777,3.522297
189.0,23.455654,3.149654
189.3,23.569672,3.126604
189.5,23.501774,3.124043
189.8,23.335232,3.131726
190.0,23.190466,3.109957
190.3,23.323702,3.126604
190.5,23.335232,3.099712
190.8,23.278862,3.084345
191.0,23.191748,3.033123
191.3,23.071325,2.989584
191.5,22.850975,2.830794
191.8,22.349907,2.929459
192.0,21.850039,2.93202
192.3,21.409739,2.939704
192.5,21.143833,2.949948
192.8,21.220697,2.949948
193.0,21.357777,2.960193
193.3,21.438486,2.972998
193.5,21.502541,2.984524
193.8,21.56019,2.984524
194.0,21.605028,2.994768
194.3,21.653709,3.025501
194.5,21.706236,3.020379
194.8,21.76004,3.003732
195.0,21.798473,3.035746
195.3,21.838188,3.028062
195.5,21.868935,2.99989
195.8,21.889433,3.038307
196.0,21.917616,3.028062
196.3,21.943239,2.981962
196.5,21.968861,2.99989
196.8,22.157183,3.492906
197.0,22.646,4.098549
197.3,23.083736,4.34857
197.5,23.484962,4.342167
197.8,23.516989,4.349851
198.0,23.915569,4.353693
198.3,23.892509,4.343448
198.5,23.933504,4.352412
198.8,23.874575,4.360096
199.0,23.898914,4.374182
199.3,23.921974,4.375462000000001
199.5,24.009089,4.379304
199.8,24.465868,4.386987
200.0,24.462025,4.416440000000001
200.3,24.23399,4.358815
200.5,24.212212,4.356254
200.8,24.255768,4.335765
201.0,23.71002,4.249967
201.3,23.677992,4.261492
201.5,23.671587,4.242284
201.8,23.594721,4.214111
202.0,23.380777,4.229478
202.3,23.412096,4.189781
202.5,23.230181,4.162889
202.8,23.181499,4.152645
203.0,23.150753,4.084775
203.3,23.128973,4.079653
203.5,23.079012,4.088617
203.8,23.027767,4.07325
204.0,22.998302,4.055322
204.3,22.88797,4.052761
204.5,23.055794,4.029711
204.8,23.260769,3.966964
205.0,22.703491,4.043797000000001
205.3,23.06476,4.103983
205.5,23.09935,4.129595
205.8,22.898218,4.150084
206.0,22.685556,4.042517
206.3,22.674026,4.088617
206.5,22.595879,4.135997
206.8,22.438303,4.132156
207.0,22.334293,4.097580000000001
207.3,22.930004,3.375345
207.5,23.160603,3.71182
207.8,23.660473,3.764323000000001
208.0,24.161541,3.687489
208.3,24.660595,3.632425
208.5,25.150723,3.570958
208.8,25.500483,3.494124
209.0,25.314724,3.565836
209.3,25.244263,3.604253
209.5,24.378239,3.533822
209.8,24.230892,3.526138
210.0,24.132248,3.472355
210.3,24.020792,3.524858
210.5,23.643402,3.559433
210.8,24.025169,3.541505
211.0,23.68696,3.526138
211.3,23.666462,3.432657
211.5,23.666462,3.48388
211.8,23.775356,3.515894
212.0,24.362099,3.495405
212.3,23.531946,3.472355
